ISSUE ID;PRODUCT;DESCRIPTION;STATUS;TIMESTAMP
"830502
900096";TABLEAU BRIDGE;"When publishing or accessing a Tableau Online view that used the TableauServerUser variable with Tableau Bridge, a ""Cannot evaluate user filter"" or ""Unable to connect to the server"" error occurred.  Request is to support impersonation with Tableau Bridge.";OPEN;08/02/2023 20:03
1478458;TABLEAU BRIDGE;The second refresh could fail with an OAuth token error when using a multi-connection Bridge that includes Google Drive.;OPEN;08/02/2023 20:03
1395120;TABLEAU DESKTOP, TABLEAU SERVER;"When publishing a data source from Tableau Desktop version 2022.2 or higher to a lower version of Tableau Server such as 2022.1, an error would occur stating, ""An error occurred when publishing the data source. Cannot publish to Tableau Server.  Please make sure you are connected to a compatible version of the server."" For more information please see this Tableau Knowledge Base article.";OPEN;08/02/2023 20:03
1420805;TABLEAU DESKTOP;Row and column divider borders are thicker in the header than in the pane starting with version 2021.1.;OPEN;08/02/2023 20:03
1440525;TABLEAU CLOUD, TABLEAU DESKTOP;NULL values would remain in the Quick Filter when only NULL values are excluded in a dimension filter starting with 2022.2.0.;OPEN;08/02/2023 20:03
1458909;TABLEAU CLOUD, TABLEAU DESKTOP, TABLEAU SERVER;Queries of a virtual connection could be unsuccessful when included columns are renamed or removed from a database. The workaround is to edit the virtual connection and replace or delete these columns, and then republish the virtual connection.;OPEN;08/02/2023 20:03
1403071;TABLEAU CLOUD, TABLEAU DESKTOP;Workbook utilizing a polygon map or territorial mapping has a hole or gap when published to Tableau Cloud or when opened in the latest version of Tableau Desktop.;OPEN;08/02/2023 20:03
1224909;TABLEAU CLOUD;"When an alert is created on a MySQL data source, an error could result when using web authoring stating , ""Unable to create alert because there was an error connecting to the data source.""";OPEN;08/02/2023 20:03
1127364;TABLEAU CLOUD, TABLEAU SERVER;When an additional data source is added using web edit, there is no prompt for credentials.;OPEN;08/02/2023 20:03
"1257638
1276556";TABLEAU CLOUD;Page setup scaling options do not stay set when a workbook is download from Tableau Online 2021.1 via the user interface.;OPEN;08/02/2023 20:03
"1392772
1383768";TABLEAU CLOUD;Scheduled extract refreshes and subscriptions could be intermittently skipped. No errors are presented when these jobs are not completed.;OPEN;08/02/2023 20:03
1388839;TABLEAU CLOUD, TABLEAU SERVER;In a project description when parenthesis are preceded by an upper case letter, the parenthesis and text within the parenthesis would not be displayed in the project tooltip.;OPEN;08/02/2023 20:03
1369143;TABLEAU CLOUD;On the Explore page list view for data sources, the last modified date could display an incorrect value. The data source details page does have the correct last modified date.;OPEN;08/02/2023 20:03
1357543;TABLEAU CLOUD;"When refreshing or connecting to Amazon Redshift in Tableau Online, errors would sometimes display showing ""Error occurred while trying to prepare a query"" or ""[SQLState XX000] extraneous data in \""T\"" message."" Amazon Redshift driver updated to 1.4.53.";OPEN;08/02/2023 20:03
1352649;TABLEAU CLOUD;Okta SCIM could reset a user to a Viewer role when the name changed in Okta even when the site role was not configured to map to Tableau Online from Okta.;OPEN;08/02/2023 20:03
1411816;TABLEAU CLOUD, TABLEAU SERVER;The sort order of a calculated field could be changed or duplicated after replacing the published data source using the REST API.;OPEN;08/02/2023 20:03
1425643;TABLEAU CLOUD;When attempting to refresh a Google Analytics data source in Tableau Cloud, the refresh is sent to Tableau Bridge instead of connecting directly from Tableau Cloud.;OPEN;08/02/2023 20:03
1439091;TABLEAU CLOUD;Virtual Connection updates are not reflected in related Data Sources.;OPEN;08/02/2023 20:03
1441970;TABLEAU CLOUD, TABLEAU SERVER;When loading a dashboard that contains a web object to a web page that has a text box, the cursor goes to the text box and the user is sent to the bottom of the dashboard on load instead of staying at the top of the dashboard causing the need to scroll up.;OPEN;08/02/2023 20:03
1431798;TABLEAU CLOUD, TABLEAU SERVER;It is not possible to export a specific sheet using the JavaScript showExportDataDialog function starting with version 2022.1. For more information see this Tableau Knowledge Base article.;OPEN;08/02/2023 20:03
1440311;TABLEAU CLOUD;It is not possible to create an extract for a Google BigQuery virtual connection.;OPEN;08/02/2023 20:03
"1429332
1461663";TABLEAU CLOUD;"It is not possible to connect to a Presto DB server that is using SSL with Tableau Cloud but Tableau Desktop can connect. The error received in Tableau Cloud is ""[Simba][Presto] (1020)...Peer certificate cannot be authenticated with given CA certificates.""";OPEN;08/02/2023 20:03
1470029;TABLEAU CLOUD, TABLEAU SERVER;"Quickbooks Online extracts could fail to refresh with error, ""No realm ID is detected"", when using saved credentials for the data connection starting with Tableau Server 2022.3 and on Tableau Cloud. For more information see the Tableau Knowledge Base article.";OPEN;08/02/2023 20:03
1465152;TABLEAU CLOUD;Saml-enabled Tableau Cloud users may be unable to login because the password field displays instead of being redirected to the IdP. For more information, please see this Tableau Knowledge Base article.;OPEN;08/02/2023 20:03
1470516;TABLEAU CLOUD;"When provisioning an Azure AD user that was initially set as ""unlicensed"", the user could become a ""Viewer"" after a sync job was run with Tableau Cloud.";OPEN;08/02/2023 20:03
1460581;TABLEAU CLOUD;"When attempting to save a token in the Okta Admin Console, the following error occurs, ""Error authenticating scim.online.tableau.com:443 failed to respond.""";OPEN;08/02/2023 20:03
1372696;TABLEAU CLOUD;"With a Box data source that is not published but connected directly from a flow and placed in the input steps of the flow, the flow can intermittently fail with ""System error: 'Authentication failed'"".";OPEN;08/02/2023 20:03
1493086;TABLEAU CLOUD;Assigning permissions to content when locking a project are not always reflected for Explorer or Viewer users.;OPEN;08/02/2023 20:03
"1497952
1498157";TABLEAU CLOUD, TABLEAU SERVER;"When accessing a Salesforce Lightning page with a Tableau dashboard embedded view, the error ""Cannot read properties of null (reading 'width')"" can occur.";OPEN;08/02/2023 20:03
"1079300
1204939";TABLEAU PREP;In Write to Database, if the database or schema does not have any tables (it is empty), navigating to the schema or database will not be possible. The schema needs to have at least one table created to be visible for selection.;OPEN;08/02/2023 20:03
1349155;TABLEAU PREP;"When a user had a Google Drive enabled for their Tableau Prep Repository folder, they would not be unable to delete ""Recovered Flows"" from the Prep Builder UI. The workaround is to turn off Google Drive sync and manually delete the folders in the My Tableau Prep Repository/Recovered Flows directory.";OPEN;08/02/2023 20:03
1439910;TABLEAU PREP;The list of tables when connected to a PostgreSQL database would not show all the tables if there were more than 16384 tables.;OPEN;08/02/2023 20:03
1481189;TABLEAU PREP;Starting in 2022.4, when you attempt to drag and drop to replace an input step that has no steps attached, the replace drop target does not appear.;OPEN;08/02/2023 20:03
1488419;TABLEAU PREP;Starting with 2022.4, using Redshift and Vertica data and writing to the external database, a user cannot select a schema. It is still possible to load and run existing flows that output to these data sources.;OPEN;08/02/2023 20:03
1487701;TABLEAU PREP, TABLEAU SERVER;"Starting with 2022.4, some Prep flows with queries to Salesforce tables can fail with the error ""System error: An error occurred while communicating with data source 'LoomDataSource'"".";OPEN;08/02/2023 20:03
1465501;TABLEAU PREP;The date of 1899/12/30 could be in the output file of a clean step after changing a string to a date format when connected to a published data source when the Tableau Server is using a non-English operating system.;OPEN;08/02/2023 20:03
